Construction_ID,Construction_parameter_ID,Construction_parameter_value_name_ID,Construction_parameter_value_names_of_Construction_data::Value_name,Value_description,Construction_data_examples::Example_ID,Construction_data_references::Reference_ID,Construction_data_references::Pages
476,15,,,,,,
476,12,,,,,,
476,13,,,,,,
476,16,,,,,,
476,17,,,,,,
476,19,,,,,,
476,18.1,,,,,,
476,18.2,,,,,,
476,20,,,,,,
476,40.1,,,,,,
476,40.3,,,,,,
476,90,,,,,,
476,40.2,,,,,,
476,91,,,,,,
476,9.2,,,,,,
476,96,,,,,,
480,12,,,,,,
480,16,,,,,,
480,17,,,,,,
480,18.1,,,,,,
480,18.2,,,,,,
480,20,,,,,,
480,40.3,,,,,,
480,40.2,,,,,,
480,91,,,,,,
480,96,,,,,,
482,8,,,,,,
482,13,,,,,,
482,18.1,,,,,,
482,18.2,,,,,,
482,20,,,,,,
482,40.1,,,,,,
482,40.3,,,,,,
482,40.2,,,,,,
482,91,,,,,,
482,96,,,,,,
483,8,,,,,,
483,16,,,,,,
483,17,,,,,,
483,18.1,,,,,,
483,18.2,,,,,,
483,20,,,,,,
483,40.3,,,,,,
483,90,,,,,,
483,40.2,,,,,,
483,91,,,,,,
483,96,,,,,,
486,9.1,,,,,,
486,13,,,,,,
486,16,,,,,,
486,17,,,,,,
486,19,,,,,,
486,18.1,,,,,,
486,18.2,,,,,,
486,20,,,,,,
486,40.3,,,,,,
486,91,,,,,,
486,9.2,,,,,,
486,96,,,,,,
489,8,,,,,,
489,9.1,,,,,,
489,13,,,,,,
489,17,,,,,,
489,18.1,,,,,,
489,18.2,,,,,,
489,20,,,,,,
489,40.3,,,,,,
489,90,,,,,,
489,40.2,,,,,,
489,91,,,,,,
489,96,,,,,,
490,4,,,,,,
490,7.1,,,,,,
490,7.2,,,,,,
490,8,,,,,,
490,9.1,,,,,,
490,10,,,,,,
490,15,,,,,,
490,12,,,,,,
490,13,,,,,,
490,16,,,,,,
490,17,,,,,,
490,19,,,,,,
490,18.1,,,,,,
490,18.2,,,,,,
490,20,,,,,,
490,40.1,,,,,,
490,40.3,,,,,,
490,90,,,,,,
490,40.2,,,,,,
490,91,,,,,,
490,9.2,,,,,,
490,96,,,,,,
492,8,,,,,,
492,16,,,,,,
492,17,,,,,,
492,18.1,,,,,,
492,18.2,,,,,,
492,20,,,,,,
492,40.3,,,,,,
492,90,,,,,,
492,40.2,,,,,,
492,91,,,,,,
492,96,,,,,,
497,8,,,,,,
497,13,,,,,,
497,17,,,,,,
497,19,,,,,,
497,18.1,,,,,,
497,18.2,,,,,,
497,20,,,,,,
497,90,,,,,,
497,40.2,,,,,,
497,91,,,,,,
497,9.2,,,,,,
497,96,,,,,,
498,8,,,,,,
498,9.1,,,,,,
498,10,,,,,,
498,14,,,,,,
498,15,,,,,,
498,11,,,,,,
498,12,,,,,,
498,13,,,,,,
498,16,,,,,,
498,17,,,,,,
498,19,,,,,,
498,18.1,,,,,,
498,18.2,,,,,,
498,20,,,,,,
498,40.1,,,,,,
498,40.3,,,,,,
498,90,,,,,,
498,40.2,,,,,,
498,91,,,,,,
498,9.2,,,,,,
498,96,,,,,,
500,8,,,,,,
500,16,,,,,,
500,17,,,,,,
500,18.1,,,,,,
500,18.2,,,,,,
500,40.1,,,,,,
500,40.3,,,,,,
500,40.2,,,,,,
500,91,,,,,,
500,96,,,,,,
502,4,,,,,,
502,8,,,,,,
502,9.1,,,,,,
502,10,,,,,,
502,14,,,,,,
502,15,,,,,,
502,11,,,,,,
502,12,,,,,,
502,13,,,,,,
502,16,,,,,,
502,17,,,,,,
502,19,,,,,,
502,18.1,,,,,,
502,18.2,,,,,,
502,20,,,,,,
502,40.1,,,,,,
502,40.3,,,,,,
502,90,,,,,,
502,40.2,,,,,,
502,91,,,,,,
502,9.2,,,,,,
502,96,,,,,,
503,4,,,,,,
503,8,,,,,,
503,9.1,,,,,,
503,14,,,,,,
503,15,,,,,,
503,11,,,,,,
503,12,,,,,,
503,13,,,,,,
503,16,,,,,,
503,17,,,,,,
503,19,,,,,,
503,18.1,,,,,,
503,18.2,,,,,,
503,20,,,,,,
503,40.1,,,,,,
503,40.3,,,,,,
503,90,,,,,,
503,40.2,,,,,,
503,91,,,,,,
503,9.2,,,,,,
503,96,,,,,,
504,4,,,,,,
504,8,,,,,,
504,9.1,,,,,,
504,10,,,,,,
504,14,,,,,,
504,15,,,,,,
504,11,,,,,,
504,12,,,,,,
504,13,,,,,,
504,16,,,,,,
504,17,,,,,,
504,19,,,,,,
504,18.1,,,,,,
504,18.2,,,,,,
504,20,,,,,,
504,40.1,,,,,,
504,40.3,,,,,,
504,90,,,,,,
504,40.2,,,,,,
504,91,,,,,,
504,9.2,,,,,,
504,96,,,,,,
505,4,,,,,,
505,8,,,,,,
505,9.1,,,,,,
505,10,,,,,,
505,14,,,,,,
505,15,,,,,,
505,11,,,,,,
505,12,,,,,,
505,13,,,,,,
505,16,,,,,,
505,17,,,,,,
505,19,,,,,,
505,18.1,,,,,,
505,18.2,,,,,,
505,20,,,,,,
505,40.1,,,,,,
505,40.3,,,,,,
505,90,,,,,,
505,40.2,,,,,,
505,91,,,,,,
505,9.2,,,,,,
505,96,,,,,,
506,4,,,,,,
506,7.1,,,,,,
506,8,,,,,,
506,9.1,,,,,,
506,10,,,,,,
506,14,,,,,,
506,15,,,,,,
506,11,,,,,,
506,12,,,,,,
506,16,,,,,,
506,17,,,,,,
506,19,,,,,,
506,18.1,,,,,,
506,18.2,,,,,,
506,20,,,,,,
506,40.1,,,,,,
506,40.3,,,,,,
506,90,,,,,,
506,91,,,,,,
506,9.2,,,,,,
506,96,,,,,,
510,9.1,,,,,,
510,10,,,,,,
510,14,,,,,,
510,12,,,,,,
510,13,,,,,,
510,17,,,,,,
510,19,,,,,,
510,18.1,,,,,,
510,18.2,,,,,,
510,40.1,,,,,,
510,40.3,,,,,,
510,90,,,,,,
510,40.2,,,,,,
510,91,,,,,,
510,9.2,,,,,,
510,96,,,,,,
511,4,,,,,,
511,9.1,,,,,,
511,10,,,,,,
511,14,,,,,,
511,15,,,,,,
511,11,,,,,,
511,12,,,,,,
511,13,,,,,,
511,16,,,,,,
511,17,,,,,,
511,19,,,,,,
511,18.1,,,,,,
511,18.2,,,,,,
511,20,,,,,,
511,40.1,,,,,,
511,40.3,,,,,,
511,90,,,,,,
511,40.2,,,,,,
511,91,,,,,,
511,9.2,,,,,,
511,96,,,,,,
512,4,,,,,,
512,9.1,,,,,,
512,10,,,,,,
512,14,,,,,,
512,15,,,,,,
512,11,,,,,,
512,12,,,,,,
512,13,,,,,,
512,16,,,,,,
512,17,,,,,,
512,19,,,,,,
512,18.1,,,,,,
512,18.2,,,,,,
512,20,,,,,,
512,40.1,,,,,,
512,40.3,,,,,,
512,90,,,,,,
512,40.2,,,,,,
512,91,,,,,,
512,9.2,,,,,,
512,96,,,,,,
517,9.1,,,,,,
517,14,,,,,,
517,15,,,,,,
517,11,,,,,,
517,12,,,,,,
517,13,,,,,,
517,16,,,,,,
517,17,,,,,,
517,19,,,,,,
517,18.1,,,,,,
517,18.2,,,,,,
517,20,,,,,,
517,40.1,,,,,,
517,40.3,,,,,,
517,90,,,,,,
517,40.2,,,,,,
517,91,,,,,,
517,9.2,,,,,,
517,96,,,,,,
518,6.2,,,,,,
518,9.1,,,,,,
518,13,,,,,,
518,19,,,,,,
518,18.1,,,,,,
518,18.2,,,,,,
518,20,,,,,,
518,40.3,,,,,,
518,90,,,,,,
518,91,,,,,,
518,9.2,,,,,,
518,96,,,,,,
519,4,,,,,,
519,9.1,,,,,,
519,10,,,,,,
519,14,,,,,,
519,15,,,,,,
519,11,,,,,,
519,12,,,,,,
519,13,,,,,,
519,16,,,,,,
519,17,,,,,,
519,19,,,,,,
519,18.1,,,,,,
519,18.2,,,,,,
519,20,,,,,,
519,40.1,,,,,,
519,40.3,,,,,,
519,90,,,,,,
519,40.2,,,,,,
519,91,,,,,,
519,9.2,,,,,,
519,96,,,,,,
520,4,,,,,,
520,8,,,,,,
520,9.1,,,,,,
520,10,,,,,,
520,14,,,,,,
520,15,,,,,,
520,11,,,,,,
520,12,,,,,,
520,13,,,,,,
520,16,,,,,,
520,17,,,,,,
520,19,,,,,,
520,18.1,,,,,,
520,18.2,,,,,,
520,20,,,,,,
520,40.1,,,,,,
520,40.3,,,,,,
520,90,,,,,,
520,40.2,,,,,,
520,91,,,,,,
520,9.2,,,,,,
520,96,,,,,,
523,15,,,,,,
523,11,,,,,,
523,12,,,,,,
523,19,,,,,,
523,18.1,,,,,,
523,18.2,,,,,,
523,40.1,,,,,,
523,40.3,,,,,,
523,40.2,,,,,,
523,91,,,,,,
523,9.2,,,,,,
523,96,,,,,,
524,7.1,,,,,,
524,7.2,,,,,,
524,8,,,,,,
524,9.1,,,,,,
524,10,,,,,,
524,14,,,,,,
524,15,,,,,,
524,11,,,,,,
524,12,,,,,,
524,16,,,,,,
524,17,,,,,,
524,19,,,,,,
524,18.1,,,,,,
524,18.2,,,,,,
524,20,,,,,,
524,40.1,,,,,,
524,40.3,,,,,,
524,90,,,,,,
524,40.2,,,,,,
524,91,,,,,,
524,9.2,,,,,,
524,96,,,,,,
525,4,,,,,,
525,9.1,,,,,,
525,10,,,,,,
525,14,,,,,,
525,15,,,,,,
525,11,,,,,,
525,12,,,,,,
525,17,,,,,,
525,19,,,,,,
525,18.1,,,,,,
525,18.2,,,,,,
525,20,,,,,,
525,40.1,,,,,,
525,40.3,,,,,,
525,90,,,,,,
525,40.2,,,,,,
525,91,,,,,,
525,9.2,,,,,,
525,96,,,,,,
528,6.2,,,,,,
528,8,,,,,,
528,16,,,,,,
528,17,,,,,,
528,19,,,,,,
528,18.1,,,,,,
528,18.2,,,,,,
528,20,,,,,,
528,40.1,,,,,,
528,40.3,,,,,,
528,90,,,,,,
528,40.2,,,,,,
528,91,,,,,,
528,96,,,,,,
530,4,,,,,,
530,5.2,,,,,,
530,6.1,,,,,,
530,6.2,,,,,,
530,7.1,,,,,,
530,7.2,,,,,,
530,8,,,,,,
530,9.1,,,,,,
530,10,,,,,,
530,14,,,,,,
530,15,,,,,,
530,11,,,,,,
530,12,,,,,,
530,13,,,,,,
530,16,,,,,,
530,17,,,,,,
530,19,,,,,,
530,18.1,,,,,,
530,18.2,,,,,,
530,20,,,,,,
530,40.1,,,,,,
530,40.3,,,,,,
530,90,,,,,,
530,40.2,,,,,,
530,91,,,,,,
530,9.2,,,,,,
530,96,,,,,,
531,4,,,,,,
531,5.1,,,,,,
531,5.2,,,,,,
531,6.1,,,,,,
531,6.2,,,,,,
531,7.1,,,,,,
531,7.2,,,,,,
531,8,,,,,,
531,9.1,,,,,,
531,10,,,,,,
531,14,,,,,,
531,15,,,,,,
531,11,,,,,,
531,12,,,,,,
531,13,,,,,,
531,16,,,,,,
531,17,,,,,,
531,19,,,,,,
531,18.1,,,,,,
531,18.2,,,,,,
531,20,,,,,,
531,40.1,,,,,,
531,40.3,,,,,,
531,90,,,,,,
531,40.2,,,,,,
531,91,,,,,,
531,9.2,,,,,,
531,96,,,,,,
534,4,,,,,,
534,5.1,,,,,,
534,5.2,,,,,,
534,6.1,,,,,,
534,6.2,,,,,,
534,7.1,,,,,,
534,7.2,,,,,,
534,8,,,,,,
534,9.1,,,,,,
534,10,,,,,,
534,14,,,,,,
534,15,,,,,,
534,11,,,,,,
534,12,,,,,,
534,13,,,,,,
534,16,,,,,,
534,17,,,,,,
534,19,,,,,,
534,18.1,,,,,,
534,18.2,,,,,,
534,20,,,,,,
534,40.1,,,,,,
534,40.3,,,,,,
534,90,,,,,,
534,40.2,,,,,,
534,91,,,,,,
534,9.2,,,,,,
534,96,,,,,,
535,4,,,,,,
535,5.1,,,,,,
535,5.2,,,,,,
535,6.1,,,,,,
535,6.2,,,,,,
535,7.1,,,,,,
535,7.2,,,,,,
535,8,,,,,,
535,12,,,,,,
535,13,,,,,,
535,16,,,,,,
535,17,,,,,,
535,19,,,,,,
535,18.1,,,,,,
535,18.2,,,,,,
535,40.3,,,,,,
535,90,,,,,,
535,40.2,,,,,,
535,91,,,,,,
535,9.2,,,,,,
535,96,,,,,,
536,4,,,,,,
536,5.1,,,,,,
536,5.2,,,,,,
536,6.1,,,,,,
536,6.2,,,,,,
536,7.1,,,,,,
536,7.2,,,,,,
536,8,,,,,,
536,9.1,,,,,,
536,10,,,,,,
536,14,,,,,,
536,15,,,,,,
536,11,,,,,,
536,12,,,,,,
536,13,,,,,,
536,16,,,,,,
536,17,,,,,,
536,19,,,,,,
536,18.1,,,,,,
536,18.2,,,,,,
536,20,,,,,,
536,40.1,,,,,,
536,40.3,,,,,,
536,90,,,,,,
536,40.2,,,,,,
536,91,,,,,,
536,9.2,,,,,,
536,96,,,,,,
538,8,,,,,,
538,16,,,,,,
538,17,,,,,,
538,19,,,,,,
538,18.1,,,,,,
538,18.2,,,,,,
538,20,,,,,,
538,40.1,,,,,,
538,40.3,,,,,,
538,90,,,,,,
538,40.2,,,,,,
538,91,,,,,,
538,96,,,,,,
540,4,,,,,,
540,7.1,,,,,,
540,7.2,,,,,,
540,9.1,,,,,,
540,16,,,,,,
540,17,,,,,,
540,18.1,,,,,,
540,18.2,,,,,,
540,20,,,,,,
540,40.1,,,,,,
540,40.3,,,,,,
540,90,,,,,,
540,40.2,,,,,,
540,91,,,,,,
540,9.2,,,,,,
540,96,,,,,,
541,4,,,,,,
541,5.1,,,,,,
541,5.2,,,,,,
541,6.2,,,,,,
541,7.1,,,,,,
541,7.2,,,,,,
541,9.1,,,,,,
541,17,,,,,,
541,18.1,,,,,,
541,18.2,,,,,,
541,20,,,,,,
541,40.1,,,,,,
541,40.3,,,,,,
541,90,,,,,,
541,91,,,,,,
541,96,,,,,,
542,4,,,,,,
542,5.1,,,,,,
542,5.2,,,,,,
542,6.1,,,,,,
542,7.1,,,,,,
542,7.2,,,,,,
542,8,,,,,,
542,9.1,,,,,,
542,10,,,,,,
542,14,,,,,,
542,15,,,,,,
542,11,,,,,,
542,12,,,,,,
542,13,,,,,,
542,16,,,,,,
542,17,,,,,,
542,19,,,,,,
542,18.1,,,,,,
542,18.2,,,,,,
542,20,,,,,,
542,40.1,,,,,,
542,40.3,,,,,,
542,90,,,,,,
542,40.2,,,,,,
542,91,,,,,,
542,9.2,,,,,,
542,96,,,,,,
545,8,,,,,,
545,9.1,,,,,,
545,10,,,,,,
545,14,,,,,,
545,15,,,,,,
545,11,,,,,,
545,12,,,,,,
545,13,,,,,,
545,16,,,,,,
545,17,,,,,,
545,19,,,,,,
545,18.1,,,,,,
545,18.2,,,,,,
545,20,,,,,,
545,40.1,,,,,,
545,40.3,,,,,,
545,90,,,,,,
545,40.2,,,,,,
545,91,,,,,,
545,9.2,,,,,,
545,96,,,,,,
546,6.1,,,,,,
546,6.2,,,,,,
546,8,,,,,,
546,10,,,,,,
546,15,,,,,,
546,12,,,,,,
546,13,,,,,,
546,16,,,,,,
546,17,,,,,,
546,19,,,,,,
546,18.1,,,,,,
546,18.2,,,,,,
546,20,,,,,,
546,40.3,,,,,,
546,90,,,,,,
546,91,,,,,,
546,9.2,,,,,,
546,96,,,,,,
547,5.1,,,,,,
547,5.2,,,,,,
547,6.1,,,,,,
547,6.2,,,,,,
547,7.1,,,,,,
547,7.2,,,,,,
547,8,,,,,,
547,10,,,,,,
547,15,,,,,,
547,12,,,,,,
547,13,,,,,,
547,16,,,,,,
547,17,,,,,,
547,19,,,,,,
547,18.1,,,,,,
547,18.2,,,,,,
547,40.3,,,,,,
547,40.2,,,,,,
547,91,,,,,,
547,9.2,,,,,,
547,96,,,,,,
548,4,,,,,,
548,5.1,,,,,,
548,5.2,,,,,,
548,6.1,,,,,,
548,6.2,,,,,,
548,7.1,,,,,,
548,7.2,,,,,,
548,8,,,,,,
548,9.1,,,,,,
548,10,,,,,,
548,15,,,,,,
548,12,,,,,,
548,13,,,,,,
548,16,,,,,,
548,17,,,,,,
548,19,,,,,,
548,18.1,,,,,,
548,18.2,,,,,,
548,20,,,,,,
548,40.1,,,,,,
548,40.3,,,,,,
548,90,,,,,,
548,40.2,,,,,,
548,91,,,,,,
548,9.2,,,,,,
548,96,,,,,,
550,10,,,,,,
550,14,,,,,,
550,15,,,,,,
550,16,,,,,,
550,17,,,,,,
550,19,,,,,,
550,18.1,,,,,,
550,18.2,,,,,,
550,20,,,,,,
550,40.3,,,,,,
550,90,,,,,,
550,91,,,,,,
550,9.2,,,,,,
550,96,,,,,,
551,4,,,,,,
551,8,,,,,,
551,9.1,,,,,,
551,10,,,,,,
551,14,,,,,,
551,15,,,,,,
551,11,,,,,,
551,12,,,,,,
551,13,,,,,,
551,16,,,,,,
551,17,,,,,,
551,19,,,,,,
551,18.1,,,,,,
551,18.2,,,,,,
551,20,,,,,,
551,40.1,,,,,,
551,40.3,,,,,,
551,90,,,,,,
551,40.2,,,,,,
551,91,,,,,,
551,9.2,,,,,,
551,96,,,,,,
552,4,,,,,,
552,8,,,,,,
552,9.1,,,,,,
552,10,,,,,,
552,14,,,,,,
552,15,,,,,,
552,11,,,,,,
552,12,,,,,,
552,13,,,,,,
552,16,,,,,,
552,17,,,,,,
552,19,,,,,,
552,18.1,,,,,,
552,18.2,,,,,,
552,20,,,,,,
552,40.1,,,,,,
552,40.3,,,,,,
552,90,,,,,,
552,40.2,,,,,,
552,91,,,,,,
552,9.2,,,,,,
552,96,,,,,,
557,14,,,,,,
557,15,,,,,,
557,12,,,,,,
557,13,,,,,,
557,16,,,,,,
557,17,,,,,,
557,19,,,,,,
557,18.1,,,,,,
557,18.2,,,,,,
557,20,,,,,,
557,40.1,,,,,,
557,40.3,,,,,,
557,90,,,,,,
557,40.2,,,,,,
557,91,,,,,,
557,96,,,,,,
559,10,,,,,480,
559,12,,,,,,
559,16,,,,,,
559,17,,,,,,
559,18.1,,,,,,
559,18.2,,,,,,
559,20,,,,,,
559,40.3,,,,,,
559,90,,,,,,
559,40.2,,,,,,
559,91,,,,,,
559,9.2,,,,,,
559,96,,,,,,
560,4,,,,,,
560,9.1,,,,,,
560,10,,,,,,
560,14,,,,,,
560,15,,,,,,
560,11,,,,,,
560,12,,,,,,
560,13,,,,,,
560,16,,,,,,
560,17,,,,,,
560,19,,,,,,
560,18.1,,,,,,
560,18.2,,,,,,
560,20,,,,,,
560,40.1,,,,,,
560,40.3,,,,,,
560,90,,,,,,
560,40.2,,,,,,
560,91,,,,,,
560,9.2,,,,,,
560,96,,,,,,
562,13,,,,,,
562,16,,,,,,
562,17,,,,,,
562,18.2,,,,,,
562,20,,,,,,
562,40.1,,,,,,
562,40.3,,,,,,
562,91,,,,,,
562,96,,,,,,
563,4,,,,,,
563,5.1,,,,,,
563,5.2,,,,,,
563,6.1,,,,,,
563,6.2,,,,,,
563,7.1,,,,,,
563,7.2,,,,,,
563,14,,,,,,
563,15,,,,,,
563,11,,,,,,
563,12,,,,,,
563,13,,,,,,
563,16,,,,,,
563,17,,,,,,
563,18.1,,,,,,
563,18.2,,,,,,
563,20,,,,,,
563,40.1,,,,,,
563,40.3,,,,,,
563,40.2,,,,,,
563,91,,,,,,
563,96,,,,,,
565,9.1,,,,,,
565,10,,,,,,
565,14,,,,,,
565,15,,,,,,
565,11,,,,,,
565,12,,,,,,
565,13,,,,,,
565,16,,,,,,
565,17,,,,,,
565,19,,,,,,
565,18.1,,,,,,
565,18.2,,,,,,
565,20,,,,,,
565,40.3,,,,,,
565,90,,,,,,
565,40.2,,,,,,
565,91,,,,,,
565,9.2,,,,,,
565,96,,,,,,
567,14,,,,,,
567,15,,,,,,
567,11,,,,,,
567,12,,,,,,
567,13,,,,,,
567,16,,,,,,
567,17,,,,,,
567,19,,,,,,
567,18.1,,,,,,
567,18.2,,,,,,
567,20,,,,,,
567,40.3,,,,,,
567,90,,,,,,
567,91,,,,,,
567,9.2,,,,,,
567,96,,,,,,
568,6.1,,,,,,
568,6.2,,,,,,
568,14,,,,,,
568,15,,,,,,
568,12,,,,,,
568,13,,,,,,
568,16,,,,,,
568,17,,,,,,
568,19,,,,,,
568,18.1,,,,,,
568,18.2,,,,,,
568,40.1,,,,,,
568,40.3,,,,,,
568,91,,,,,,
568,96,,,,,,
569,5.1,,,,,,
569,5.2,,,,,,
569,6.1,,,,,,
569,6.2,,,,,,
569,7.1,,,,,,
569,7.2,,,,,,
569,8,,,,,,
569,9.1,,,,,,
569,14,,,,,,
569,15,,,,,,
569,11,,,,,,
569,12,,,,,,
569,13,,,,,,
569,16,,,,,,
569,17,,,,,,
569,19,,,,,,
569,18.1,,,,,,
569,18.2,,,,,,
569,20,,,,,,
569,40.1,,,,,,
569,40.3,,,,,,
569,91,,,,,,
569,9.2,,,,,,
569,96,,,,,,
572,5.1,,,,,,
572,5.2,,,,,,
572,6.1,,,,,,
572,6.2,,,,,,
572,7.1,,,,,,
572,7.2,,,,,,
572,8,,,,,,
572,9.1,,,,,,
572,14,,,,,,
572,15,,,,,,
572,11,,,,,,
572,12,,,,,,
572,13,,,,,,
572,16,,,,,,
572,17,,,,,,
572,19,,,,,,
572,18.1,,,,,,
572,18.2,,,,,,
572,20,,,,,,
572,40.1,,,,,,
572,40.3,,,,,,
572,40.2,,,,,,
572,91,,,,,,
572,9.2,,,,,,
572,96,,,,,,
573,4,,,,,,
573,5.1,,,,,,
573,5.2,,,,,,
573,6.1,,,,,,
573,6.2,,,,,,
573,7.1,,,,,,
573,7.2,,,,,,
573,8,,,,,,
573,9.1,,,,,,
573,14,,,,,,
573,15,,,,,,
573,11,,,,,,
573,12,,,,,,
573,13,,,,,,
573,16,,,,,,
573,17,,,,,,
573,19,,,,,,
573,18.1,,,,,,
573,18.2,,,,,,
573,20,,,,,,
573,40.1,,,,,,
573,40.3,,,,,,
573,90,,,,,,
573,40.2,,,,,,
573,91,,,,,,
573,9.2,,,,,,
573,96,,,,,,
575,4,,,,,,
575,5.1,,,,,,
575,5.2,,,,,,
575,6.1,,,,,,
575,7.1,,,,,,
575,8,,,,,,
575,9.1,,,,,,
575,12,,,,,,
575,17,,,,,,
575,19,,,,,,
575,18.1,,,,,,
575,18.2,,,,,,
575,20,,,,,,
575,40.1,,,,,,
575,40.3,,,,,,
575,90,,,,,,
575,91,,,,,,
575,96,,,,,,
576,4,,,,,,
576,5.1,,,,,,
576,5.2,,,,,,
576,6.1,,,,,,
576,6.2,,,,,,
576,7.1,,,,,,
576,7.2,,,,,,
576,8,,,,,,
576,9.1,,,,,,
576,10,,,,,,
576,14,,,,,,
576,11,,,,,,
576,12,,,,,,
576,13,,,,,,
576,16,,,,,,
576,17,,,,,,
576,19,,,,,,
576,18.1,,,,,,
576,18.2,,,,,,
576,20,,,,,,
576,40.1,,,,,,
576,40.3,,,,,,
576,90,,,,,,
576,40.2,,,,,,
576,91,,,,,,
576,9.2,,,,,,
576,96,,,,,,
577,4,,,,,,
577,5.1,,,,,,
577,5.2,,,,,,
577,6.1,,,,,,
577,6.2,,,,,,
577,7.1,,,,,,
577,7.2,,,,,,
577,8,,,,,,
577,9.1,,,,,,
577,10,,,,,,
577,15,,,,,,
577,11,,,,,,
577,12,,,,,,
577,13,,,,,,
577,16,,,,,,
577,17,,,,,,
577,19,,,,,,
577,18.1,,,,,,
577,18.2,,,,,,
577,20,,,,,,
577,40.1,,,,,,
577,40.3,,,,,,
577,90,,,,,,
577,40.2,,,,,,
577,91,,,,,,
577,9.2,,,,,,
577,96,,,,,,
579,6.1,,,,,,
579,6.2,,,,,,
579,7.2,,,,,,
579,8,,,,,,
579,9.1,,,,,,
579,14,,,,,,
579,15,,,,,,
579,13,,,,,,
579,16,,,,,,
579,19,,,,,,
579,18.1,,,,,,
579,18.2,,,,,,
579,20,,,,,,
579,40.3,,,,,,
579,90,,,,,,
579,40.2,,,,,,
579,91,,,,,,
579,9.2,,,,,,
579,96,,,,,,
581,6.1,,,,,,
581,6.2,,,,,,
581,7.1,,,,,,
581,7.2,,,,,,
581,8,,,,,,
581,16,,,,,,
581,17,,,,,,
581,19,,,,,,
581,18.1,,,,,,
581,18.2,,,,,,
581,20,,,,,,
581,40.1,,,,,,
581,40.3,,,,,,
581,90,,,,,,
581,40.2,,,,,,
581,96,,,,,,
582,5.2,,,,,,
582,6.1,,,,,,
582,6.2,,,,,,
582,7.1,,,,,,
582,7.2,,,,,,
582,8,,,,,,
582,14,,,,,,
582,16,,,,,,
582,17,,,,,,
582,19,,,,,,
582,18.1,,,,,,
582,18.2,,,,,,
582,20,,,,,,
582,40.1,,,,,,
582,40.3,,,,,,
582,90,,,,,,
582,40.2,,,,,,
582,96,,,,,,
586,8,,,,,,
586,9.1,,,,,,
586,10,,,,,,
586,14,,,,,,
586,15,,,,,,
586,12,,,,,,
586,13,,,,,,
586,16,,,,,,
586,17,,,,,,
586,19,,,,,,
586,18.1,,,,,,
586,18.2,,,,,,
586,40.1,,,,,,
586,40.3,,,,,,
586,90,,,,,,
586,40.2,,,,,,
586,91,,,,,,
586,9.2,,,,,,
586,96,,,,,,
587,8,,,,,,
587,9.1,,,,,,
587,10,,,,,,
587,14,,,,,,
587,15,,,,,,
587,11,,,,,,
587,12,,,,,,
587,13,,,,,,
587,16,,,,,,
587,17,,,,,,
587,19,,,,,,
587,18.1,,,,,,
587,18.2,,,,,,
587,20,,,,,,
587,40.1,,,,,,
587,40.3,,,,,,
587,90,,,,,,
587,40.2,,,,,,
587,91,,,,,,
587,9.2,,,,,,
587,96,,,,,,
588,8,,,,,,
588,9.1,,,,,,
588,10,,,,,,
588,14,,,,,,
588,15,,,,,,
588,11,,,,,,
588,12,,,,,,
588,13,,,,,,
588,16,,,,,,
588,17,,,,,,
588,19,,,,,,
588,18.1,,,,,,
588,18.2,,,,,,
588,20,,,,,,
588,40.1,,,,,,
588,40.3,,,,,,
588,90,,,,,,
588,40.2,,,,,,
588,91,,,,,,
588,9.2,,,,,,
588,96,,,,,,
590,7.1,,,,,,
590,7.2,,,,,,
590,8,,,,,,
590,9.1,,,,,,
590,10,,,,,,
590,14,,,,,,
590,15,,,,,,
590,11,,,,,,
590,12,,,,,,
590,13,,,,,,
590,16,,,,,,
590,17,,,,,,
590,19,,,,,,
590,18.1,,,,,,
590,18.2,,,,,,
590,20,,,,,,
590,40.1,,,,,,
590,40.3,,,,,,
590,90,,,,,,
590,40.2,,,,,,
590,91,,,,,,
590,9.2,,,,,,
590,96,,,,,,
598,8,,,,,,
598,9.1,,,,,,
598,10,,,,,,
598,14,,,,,,
598,15,,,,,,
598,11,,,,,,
598,12,,,,,,
598,13,,,,,,
598,16,,,,,,
598,17,,,,,,
598,19,,,,,,
598,18.1,,,,,,
598,18.2,,,,,,
598,20,,,,,,
598,40.1,,,,,,
598,40.3,,,,,,
598,90,,,,,,
598,40.2,,,,,,
598,91,,,,,,
598,9.2,,,,,,
598,96,,,,,,
601,4,,,,,,
601,8,,,,,,
601,9.1,,,,,,
601,10,,,,,,
601,14,,,,,,
601,15,,,,,,
601,11,,,,,,
601,12,,,,,,
601,13,,,,,,
601,16,,,,,,
601,17,,,,,,
601,19,,,,,,
601,18.1,,,,,,
601,18.2,,,,,,
601,20,,,,,,
601,40.1,,,,,,
601,40.3,,,,,,
601,90,,,,,,
601,40.2,,,,,,
601,91,,,,,,
601,9.2,,,,,,
601,96,,,,,,
602,8,,,,,,
602,9.1,,,,,,
602,10,,,,,,
602,14,,,,,,
602,15,,,,,,
602,11,,,,,,
602,12,,,,,,
602,13,,,,,,
602,16,,,,,,
602,17,,,,,,
602,19,,,,,,
602,18.1,,,,,,
602,18.2,,,,,,
602,20,,,,,,
602,40.1,,,,,,
602,40.3,,,,,,
602,90,,,,,,
602,40.2,,,,,,
602,91,,,,,,
602,9.2,,,,,,
602,96,,,,,,
603,8,,,,,,
603,9.1,,,,,,
603,10,,,,,,
